# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: a
# A: 12.000000, alpha: 2.000000, gamma: 3.000000
# Generated: 2026-02-17T23:00:32.824209
k,pmf,A,alpha,gamma
0,1.5,12.0,2.0,3.0
1,0.4444444444444444,12.0,2.0,3.0
2,0.1875,12.0,2.0,3.0
3,0.096,12.0,2.0,3.0
4,0.05555555555555555,12.0,2.0,3.0
5,0.03498542274052478,12.0,2.0,3.0
6,0.0234375,12.0,2.0,3.0
7,0.016460905349794237,12.0,2.0,3.0
8,0.012,12.0,2.0,3.0
9,0.009015777610818933,12.0,2.0,3.0
10,0.006944444444444444,12.0,2.0,3.0
11,0.005461993627674101,12.0,2.0,3.0
12,0.004373177842565598,12.0,2.0,3.0
13,0.0035555555555555557,12.0,2.0,3.0
14,0.0029296875,12.0,2.0,3.0
15,0.0024424994911459393,12.0,2.0,3.0
16,0.0020576131687242796,12.0,2.0,3.0
17,0.001749526169995626,12.0,2.0,3.0
18,0.0015,12.0,2.0,3.0
19,0.0012957563977972141,12.0,2.0,3.0
20,0.0011269722013523666,12.0,2.0,3.0
21,0.0009862743486479823,12.0,2.0,3.0
22,0.0008680555555555555,12.0,2.0,3.0
23,0.000768,12.0,2.0,3.0
24,0.0006827492034592626,12.0,2.0,3.0
25,0.0006096631611034902,12.0,2.0,3.0
